#BUS NAME   VNOM    PLOAD   QLOAD BSHUNT QSHUNT ; (y/lat x/lon)
BUS  s_bus   225.00    0.0    0.0    0.0    0.0  ;   0     5
BUS  2       20.00  400.0   80.0    0.0    0.0  ;   -0.5  6 
BUS  MIDDLE 225.00    0.0    0.0    0.0    0.0  ;   0     6 
BUS  4      225.00    0.0    0.0    0.0    0.0  ;   0     6.5
BUS  5       15.00    0.0    0.0    0.0    0.0  ;   -0.5  6.5

#LINE NAME FROMBUS TOBUS R X wC2 SNOM BR ; (lengthKM) 
LINE 1-3   s_bus  MIDDLE  4.16  41.6  195. 1350. 1  ; 130
LINE 1-3b  s_bus  MIDDLE  4.16  41.6  195. 1350. 1  ; 130
LINE 3-4   MIDDLE  4  0.64   6.4   30. 1350. 1  ; 20
LINE 3-4b  MIDDLE  4  0.64   6.4   30. 1350. 1  ; 20

#TRANSFO NAME FROMBUS TOBUS R   X   B1   B2     N   PHI  SNOM  BR ;
TRANSFO  5-4  5       4    0.0  15. 0.0  0.0  103.0  0.  500.0  1 ;
TRANSFO  2-3  2       MIDDLE    0.0  15. 0.0  0.0   99.0  0.  600.0  1 ;

#LTC-V  NAME CONBUS NFIRST NLAST NBPOS TOLV VDES ?? ?? ;
LTC-V   2-3  2      80.    110.  31    0.01 1.0  30 10 ;

#GENER NAME BUS     Bus      P      Q   VIMP SNOM   QMIN    QMAX   BR ;
GENER  1    s_bus   s_bus    0.0   0.0  1.05 900.0  -9999.  9999.  1  ;
GENER  5    5   5  300.0   0.0  1.00 500.0  -9999.  9999.  1  ;

#SLACK BUSNAME ;
SLACK s_bus ;

